Service Request URL,Service Request,Status,Request Date,Description
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071374&type=new_cs180221194423&viewRole=,101000071374,Completed,"July 28, 2017 3:12 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217657-101000071368&type=new_cs180221194423&viewRole=,217657-101000071368,Completed,"July 28, 2017 2:56 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071364&type=new_cs180301154109&viewRole=,101000071364,Assigned,"July 28, 2017 2:49 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217648-101000071358&type=new_cs180301154109&viewRole=,217648-101000071358,Completed,"July 28, 2017 2:16 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071357&type=new_cs180301154109&viewRole=,101000071357,Completed,"July 28, 2017 2:04 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217646-101000071356&type=new_cs180221194656&viewRole=,217646-101000071356,Completed,"July 28, 2017 2:03 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217621-101000071338&type=new_cs180221194656&viewRole=,217621-101000071338,Completed,"July 28, 2017 12:56 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217613-101000071335&type=new_cs180221194656&viewRole=,217613-101000071335,Completed,"July 28, 2017 12:40 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217603-101000071331&type=new_cs180221194656&viewRole=,217603-101000071331,Assigned,"July 28, 2017 12:24 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071321&type=new_cs180221192659&viewRole=,101000071321,Completed,"July 28, 2017 11:48 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071316&type=new_cs180301154109&viewRole=,101000071316,Completed,"July 28, 2017 11:40 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071310&type=new_cs180221194457&viewRole=,101000071310,Completed,"July 28, 2017 11:35 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071305&type=new_cs180220201343&viewRole=,101000071305,Completed,"July 28, 2017 11:28 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071301&type=new_cs180301142929&viewRole=,101000071301,Completed,"July 28, 2017 11:24 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217563-101000071292&type=new_cs180529151322&viewRole=,217563-101000071292,Assigned,"July 28, 2017 11:16 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071285&type=new_cs180228155543&viewRole=,101000071285,Completed,"July 28, 2017 11:05 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217553-101000071279&type=new_cs180221194251&viewRole=,217553-101000071279,Completed,"July 28, 2017 10:53 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217546-101000071276&type=new_cs180301154109&viewRole=,217546-101000071276,Completed,"July 28, 2017 10:44 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071270&type=new_cs180221194656&viewRole=,101000071270,Assigned,"July 28, 2017 10:29 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071265&type=new_cs180221194656&viewRole=,101000071265,Assigned,"July 28, 2017 10:23 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071263&type=new_cs180221194656&viewRole=,101000071263,Assigned,"July 28, 2017 10:18 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071262&type=new_cs180221194656&viewRole=,101000071262,Assigned,"July 28, 2017 10:17 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071261&type=new_cs180221194656&viewRole=,101000071261,Completed,"July 28, 2017 10:14 am",
